Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,504
design__inferred_latch__count,0
design__instance__count,102948
design__instance__area,4.06887E+6
design__instance_unmapped__count,0
synthesis__check_error__count,187
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,744
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00698667811229825
power__switching__total,0.005464710295200348
power__leakage__total,1.332308983137409E-7
power__total,0.01245152112096548
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.1884157327932914
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.34890843979354735
timing__hold__ws__corner:nom_tt_025C_1v80,0.2738915838319993
timing__setup__ws__corner:nom_tt_025C_1v80,10.883850573302533
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.350057
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,31
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,744
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.251099814714874
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4115916335366855
timing__hold__ws__corner:nom_ss_100C_1v60,0.21735858173001396
timing__setup__ws__corner:nom_ss_100C_1v60,6.099139144144589
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.927830
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.099139
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,744
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.162722506741552
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.32321521374180806
timing__hold__ws__corner:nom_ff_n40C_1v95,0.07477840780469044
timing__setup__ws__corner:nom_ff_n40C_1v95,10.977739916704405
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.126137
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,41
design__max_fanout_violation__count,744
design__max_cap_violation__count,2
clock__skew__worst_hold,-2.156922257407658
clock__skew__worst_setup,0.31735057147066476
timing__hold__ws,0.06314460244522187
timing__setup__ws,5.7619350921412975
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.120892
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.761935
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,102947
design__instance__area__stdcell,229506
design__instance__count__macros,1
design__instance__area__macros,3.83937E+6
design__instance__utilization,0.399929
design__instance__utilization__stdcell,0.0362305
design__instance__count__class:macro,1
design__instance__count__class:buffer,3
design__instance__count__class:inverter,1295
design__instance__count__class:sequential_cell,1510
design__instance__count__class:multi_input_combinational_cell,3976
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,596130
design__instance__count__class:tap_cell,85529
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,530501
design__violations,0
design__instance__count__class:timing_repair_buffer,2029
design__instance__count__class:clock_buffer,223
design__instance__count__class:clock_inverter,115
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1123
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
design__instance__count__class:antenna_cell,8267
antenna_diodes_count,26
route__net,9431
route__net__special,8
route__drc_errors__iter:1,3925
route__wirelength__iter:1,637429
route__drc_errors__iter:2,1583
route__wirelength__iter:2,635440
route__drc_errors__iter:3,1225
route__wirelength__iter:3,634808
route__drc_errors__iter:4,83
route__wirelength__iter:4,634689
route__drc_errors__iter:5,38
route__wirelength__iter:5,634704
route__drc_errors__iter:6,36
route__wirelength__iter:6,634713
route__drc_errors__iter:7,36
route__wirelength__iter:7,634707
route__drc_errors__iter:8,36
route__wirelength__iter:8,634701
route__drc_errors__iter:9,36
route__wirelength__iter:9,634697
route__drc_errors__iter:10,33
route__wirelength__iter:10,634705
route__drc_errors__iter:11,33
route__wirelength__iter:11,634705
route__drc_errors__iter:12,33
route__wirelength__iter:12,634705
route__drc_errors__iter:13,33
route__wirelength__iter:13,634705
route__drc_errors__iter:14,33
route__wirelength__iter:14,634677
route__drc_errors__iter:15,33
route__wirelength__iter:15,634678
route__drc_errors__iter:16,33
route__wirelength__iter:16,634678
route__drc_errors__iter:17,13
route__wirelength__iter:17,634723
route__drc_errors__iter:18,15
route__wirelength__iter:18,634708
route__drc_errors__iter:19,13
route__wirelength__iter:19,634709
route__drc_errors__iter:20,13
route__wirelength__iter:20,634709
route__drc_errors__iter:21,5
route__wirelength__iter:21,634664
route__drc_errors__iter:22,5
route__wirelength__iter:22,634632
route__drc_errors__iter:23,5
